88,10
89,6
90,1
91,10
92,6
93,8
95,10
96,2
97,8
99,1
100,8
101,5
102,5
103,10
104,2
105,3
107,1
108,10
109,3
110,4
111,7
112,7
113,10
114,10
115,4
116,9
117,10
118,3
119,5
120,5
121,10
122,9
123,7
124,2
125,7
127,5
128,10
129,-1
130,7
131,7
132,3
133,8
134,3
135,6
136,7
137,6
138,1
140,3
141,3
142,-1
143,4
144,6
145,9
148,4
149,3
151,2
152,5
153,5
154,1
155,3
156,1
158,3
159,9
160,1
161,7
162,2
163,7
164,8
165,3
166,2
167,4
168,7
169,7
170,8
171,10
172,1
173,10
174,9
175,7
176,4
177,1
178,8
180,1
181,7
