183,7
185,9
186,1
187,6
188,9
189,8
190,7
191,3
192,2
193,5
194,1
195,6
196,8
197,1
198,1
199,8
200,10
201,7
202,3
203,10
204,2
206,4
207,8
208,9
209,5
210,7
211,8
212,2
213,1
214,-1
215,1
216,4
217,4
219,5
220,8
221,8
223,4
224,10
225,4
226,-1
227,5
228,5
231,4
232,3
233,5
235,7
236,6
237,-1
238,6
239,6
240,1
241,1
242,1
243,8
244,3
245,2
246,6
247,5
248,9
249,2
250,10
251,3
252,4
253,10
254,3
255,1
256,4
257,3
258,9
259,1
260,3
261,8
262,10
263,5
264,10
265,4
266,5
267,5
268,2
269,4
270,4
271,8
273,4
274,9
275,1
276,6
277,4
278,5
