182,2
183,8
184,9
185,1
186,8
188,4
189,5
191,8
193,4
194,2
195,9
196,9
197,10
198,2
199,8
201,2
202,6
203,9
204,7
205,4
206,8
207,-1
209,2
211,5
212,8
213,6
214,7
215,6
216,9
217,10
218,6
219,9
220,7
221,3
222,3
223,7
224,1
225,5
226,8
227,2
228,6
229,7
230,7
231,9
232,3
233,10
234,3
235,7
236,6
237,7
238,8
239,3
240,3
241,4
243,-1
244,9
245,1
246,7
247,9
248,6
249,8
250,2
251,2
252,7
253,10
254,1
255,8
256,8
257,10
258,6
259,1
261,1
262,5
263,9
264,5
265,2
266,3
267,5
268,10
269,3
270,9
271,4
272,3
273,2
274,5
275,8
278,10
