182,5
183,3
184,8
185,8
186,6
187,5
188,3
189,6
190,10
191,10
192,4
193,1
195,1
196,8
197,5
198,4
199,6
200,2
201,10
202,4
203,9
204,10
206,5
207,9
208,10
209,4
210,4
211,10
212,3
213,5
214,1
215,9
216,-1
218,9
219,5
220,5
221,2
222,6
223,1
224,8
225,3
226,10
227,8
228,2
229,10
230,5
231,2
233,1
234,8
235,3
236,6
237,5
238,7
239,7
240,4
241,7
242,8
243,1
245,-1
246,10
247,3
248,1
250,5
251,6
252,-1
254,10
255,6
256,1
257,8
258,3
259,8
260,2
261,10
263,2
264,4
265,4
266,5
267,4
268,10
269,4
270,9
271,3
272,2
273,3
274,7
275,5
276,1
277,1
278,4
